stt_bbox,ma_anh,ma_san_pham,ten_san_pham,duong_dan_anh,sha256,url_anh,nhan_goi_y,so_logo_goi_y,trang_thai_bbox,so_bbox,boxes_json,ghi_chu_bbox
11,anh_000038,san_pham_0008,Nước súc miệng Happy Gums,data\du_lieu_logo\anh_goc\san_pham_0008\anh_004_0d5c727c.jpg,0d5c727c656d7443036a7c6baa614f2dfcdbda0d4328b3c6dc9d8612467fd289,https://d134sx875xrex2.cloudfront.net/KWJM5w53Sz_KQKN%20N%C6%B0%E1%BB%9Bc%20S%C3%BAc%20Mi%E1%BB%87ng_page-0001.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":26,""w"":192,""h"":123}]",Bounding box được audit và gán từ ảnh gốc.
12,anh_000039,san_pham_0008,Nước súc miệng Happy Gums,data\du_lieu_logo\anh_goc\san_pham_0008\anh_005_b2495cdc.jpg,b2495cdc9486a29bca2f4c17c22cf816dfd668c0a8711282fda719e6baef0ec3,https://d134sx875xrex2.cloudfront.net/n8SIoaCbDz_KQKN%20N%C6%B0%E1%BB%9Bc%20S%C3%BAc%20Mi%E1%BB%87ng_page-0002.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":26,""w"":192,""h"":123}]",Bounding box được audit và gán từ ảnh gốc.
13,anh_000043,san_pham_0009,Nước xịt thơm phòng EGS360,data\du_lieu_logo\anh_goc\san_pham_0009\anh_004_8961694b.jpg,8961694b84daa7f2b3d45f42bdd3a7ba29e7f13d5881fd1170388cd98a642018,https://d134sx875xrex2.cloudfront.net/8wgSHklnWb_KQ%20x%C3%A9t%20nghi%C3%AAm%20EGS%20360%20Trung%20T%C3%A2m%203_page-0001.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":26,""w"":192,""h"":123}]",Bounding box được audit và gán từ ảnh gốc.
14,anh_000044,san_pham_0009,Nước xịt thơm phòng EGS360,data\du_lieu_logo\anh_goc\san_pham_0009\anh_005_56cf3267.jpg,56cf3267c57bd3342edb65da83e8aca72593b1ab3bfbb642da63ba026fe4c70e,https://d134sx875xrex2.cloudfront.net/TjoC4XlLCb_KQ%20x%C3%A9t%20nghi%C3%AAm%20EGS%20360%20Trung%20T%C3%A2m%203_page-0002.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":26,""w"":192,""h"":123}]",Bounding box được audit và gán từ ảnh gốc.
15,anh_000048,san_pham_0010,Xà bông nước MBS 360,data\du_lieu_logo\anh_goc\san_pham_0010\anh_004_ac6eddbf.jpg,ac6eddbfe3150d9c85b5c4582b4724a621242846b7d1afcd165da5fbe4e05ed2,https://d134sx875xrex2.cloudfront.net/BwhVTe0Z2x_BMS360%20brochure%20-%20230424_page-0002.jpg,fda,1,da_gan_bbox,1,"[{""label"":""fda"",""x"":1000,""y"":99,""w"":228,""h"":149}]",Bounding box được audit và gán từ ảnh gốc.
16,anh_000049,san_pham_0010,Xà bông nước MBS 360,data\du_lieu_logo\anh_goc\san_pham_0010\anh_005_02ee0a3d.jpg,02ee0a3de4cfea6cbd43133a7c7bcc0f0c7f955aef50f825adfe0004e155b5c9,https://d134sx875xrex2.cloudfront.net/Ivnx2kiDTu_BMS360%20Test%20H%C3%B3a%20ly%20vi%20sinh%20TV%20Pasteur_page-0001.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
17,anh_000050,san_pham_0010,Xà bông nước MBS 360,data\du_lieu_logo\anh_goc\san_pham_0010\anh_006_2aed3716.jpg,2aed371655dc4e2cf95e4fdd8a88f93257dce5dca97c9689388b0878eb73214b,https://d134sx875xrex2.cloudfront.net/yA75hzjcTn_BMS360%20Test%20H%C3%B3a%20ly%20vi%20sinh%20TV%20Pasteur_page-0002.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
18,anh_000051,san_pham_0010,Xà bông nước MBS 360,data\du_lieu_logo\anh_goc\san_pham_0010\anh_007_4a77046b.jpg,4a77046b9575c9fb6c71a857b278926b867155f93ef9f3292c36b6b023466261,https://d134sx875xrex2.cloudfront.net/NADhuhc2V1_BMS360%20Test%20H%C3%B3a%20ly%20vi%20sinh%20TV%20Pasteur_page-0003.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
19,anh_000052,san_pham_0010,Xà bông nước MBS 360,data\du_lieu_logo\anh_goc\san_pham_0010\anh_008_29f78129.jpg,29f781293a21527a8f35c7a4148a119f4c2371466720d22f846596a82a3536cf,https://d134sx875xrex2.cloudfront.net/Wzlide79Us_BMS360%20Test%20H%C3%B3a%20ly%20vi%20sinh%20TV%20Pasteur_page-0004.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":26,""w"":192,""h"":123}]",Bounding box được audit và gán từ ảnh gốc.
20,anh_000055,san_pham_0011,Kem Đánh Răng Happy Gums,data\du_lieu_logo\anh_goc\san_pham_0011\anh_003_c28efc5f.png,c28efc5fb794b5ed729376b988d9cc56c7543f5c4e3508fcf423811593f9b2b6,https://d134sx875xrex2.cloudfront.net/nsZ7hvwqa7_KQKN.png,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":29,""y"":13,""w"":99,""h"":62}]",Bounding box được audit và gán từ ảnh gốc.
21,anh_000059,san_pham_0012,Nước tẩy rửa bồn cầu tự động My Happy Tank chai 350ml,data\du_lieu_logo\anh_goc\san_pham_0012\anh_004_6a8c63d8.jpg,6a8c63d8cb6721d6f7861ba0b8a0beaa9b3d95b8db1f10be4b67b287262a7dc7,https://d134sx875xrex2.cloudfront.net/mV8Yiz9re5_KQ%20ki%E1%BB%83m%20nghi%E1%BB%87m%20MHT_page-0001.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
22,anh_000060,san_pham_0012,Nước tẩy rửa bồn cầu tự động My Happy Tank chai 350ml,data\du_lieu_logo\anh_goc\san_pham_0012\anh_005_f2b08773.jpg,f2b08773e14567e7959b9f66ecf8df7b370f530397ee3ea1142624701d270c3b,https://d134sx875xrex2.cloudfront.net/ICO5CPQh5G_KQ%20ki%E1%BB%83m%20nghi%E1%BB%87m%20MHT_page-0002.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
23,anh_000061,san_pham_0012,Nước tẩy rửa bồn cầu tự động My Happy Tank chai 350ml,data\du_lieu_logo\anh_goc\san_pham_0012\anh_006_49d3005a.jpg,49d3005a5888fea7f7559c619cefc924f99eec9fa843613678c3b42264c91222,https://d134sx875xrex2.cloudfront.net/ZLC9jSXyxy_KQ%20ki%E1%BB%83m%20nghi%E1%BB%87m%20MHT_page-0003.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
24,anh_000062,san_pham_0012,Nước tẩy rửa bồn cầu tự động My Happy Tank chai 350ml,data\du_lieu_logo\anh_goc\san_pham_0012\anh_007_68ab266f.jpg,68ab266fa6a483d94b8b4768fdea4a374c29a3c64c634ead8009983a76f843d4,https://d134sx875xrex2.cloudfront.net/Gtvlrb76Vx_KQ%20ki%E1%BB%83m%20nghi%E1%BB%87m%20MHT_page-0004.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
25,anh_000063,san_pham_0012,Nước tẩy rửa bồn cầu tự động My Happy Tank chai 350ml,data\du_lieu_logo\anh_goc\san_pham_0012\anh_008_2bca76ed.jpg,2bca76edf4067ca96e85d7b2e305e665418d4f3f0af5896daa5af2caef5db97d,https://d134sx875xrex2.cloudfront.net/MIuOqXQqyY_KQ%20ki%E1%BB%83m%20nghi%E1%BB%87m%20MHT_page-0005.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
26,anh_000064,san_pham_0012,Nước tẩy rửa bồn cầu tự động My Happy Tank chai 350ml,data\du_lieu_logo\anh_goc\san_pham_0012\anh_009_8c3a73c7.jpg,8c3a73c736b24cf3e404bb37f39bf261016d69bda392cb223033a35760b5f5b1,https://d134sx875xrex2.cloudfront.net/cj1r8ut53E_KQ%20ki%E1%BB%83m%20nghi%E1%BB%87m%20MHT_page-0006.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":56,""y"":18,""w"":217,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
27,anh_000078,san_pham_0015,MỲ SỢI KHÔ RAU CỦ - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0015\anh_005_e8377e64.jpg,e8377e64fae791696627ac46549f8184ecdc2be8936b0bf4f8180da8054515b7,https://d134sx875xrex2.cloudfront.net/TWG1v9F8hb_341af308-b506-4334-bb59-a774cbbec293.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":374,""y"":154,""w"":187,""h"":192}]",Bounding box được audit và gán từ ảnh gốc.
28,anh_000079,san_pham_0015,MỲ SỢI KHÔ RAU CỦ - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0015\anh_006_e3477750.jpg,e3477750db5a20542fc0411b564f84c2203de79c98e89d860c8669ac83e9fdde,https://d134sx875xrex2.cloudfront.net/HAUjqw4NrO_ffccad7e-5baa-471e-a8b6-ecf46bcb3f90.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":650,""y"":280,""w"":325,""h"":350}]",Bounding box được audit và gán từ ảnh gốc.
29,anh_000085,san_pham_0017,NGŨ CỐC CAO CẤP TRẦN LAN - 100% THIÊN NHIÊN,data\du_lieu_logo\anh_goc\san_pham_0017\anh_001_05f776c6.jpg,05f776c6394b0849575d26d9ac9dd222d4ec95cadf282adb74ed4b37c7103386,https://d134sx875xrex2.cloudfront.net/GGaSE94MTh_10235825-3365-4e4c-9e75-50c92c104c27.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":1905,""y"":956,""w"":184,""h"":178}]",Bounding box được audit và gán từ ảnh gốc.
30,anh_000086,san_pham_0017,NGŨ CỐC CAO CẤP TRẦN LAN - 100% THIÊN NHIÊN,data\du_lieu_logo\anh_goc\san_pham_0017\anh_002_4a0f3703.jpg,4a0f37034cfc41eb5ee051ddf6c2f4fd3a3d437260706588bebab8ff3766e998,https://d134sx875xrex2.cloudfront.net/txUWIgziGa_9cfefe99-4ebb-4f36-a988-a041330c7b2b.jpg,ocop,1,khong_co_logo,0,[],Audit bbox: không thấy logo/chứng chỉ tương ứng trong ảnh; sửa nhãn dương tính trước đó.
31,anh_000087,san_pham_0017,NGŨ CỐC CAO CẤP TRẦN LAN - 100% THIÊN NHIÊN,data\du_lieu_logo\anh_goc\san_pham_0017\anh_003_df6908a6.jpg,df6908a6e75684169fc48ed7241230acf0644451bbb42da1ca80f6f79d4ff54b,https://d134sx875xrex2.cloudfront.net/9fTnO7tXf5_b6c0b59d-3d8c-471b-bbe5-44a630fc7782.jpg,ocop,1,khong_co_logo,0,[],Audit bbox: không thấy logo/chứng chỉ tương ứng trong ảnh; sửa nhãn dương tính trước đó.
32,anh_000088,san_pham_0017,NGŨ CỐC CAO CẤP TRẦN LAN - 100% THIÊN NHIÊN,data\du_lieu_logo\anh_goc\san_pham_0017\anh_004_b810ca65.jpg,b810ca65c300af7c94ad2cfe32a6300bb34707d72664056a1b4d638ca8dd2625,https://d134sx875xrex2.cloudfront.net/cu83SJlJFG_4dd58043-efa6-461d-b146-173e068ee36d.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":1216,""y"":1581,""w"":345,""h"":304}]",Bounding box được audit và gán từ ảnh gốc.
33,anh_000089,san_pham_0017,NGŨ CỐC CAO CẤP TRẦN LAN - 100% THIÊN NHIÊN,data\du_lieu_logo\anh_goc\san_pham_0017\anh_005_e1b232eb.jpg,e1b232eb7292502fbfbb253a3dd93bec1c2d20ec194ecb895bf86d881b9b5c9a,https://d134sx875xrex2.cloudfront.net/PpPAAqfVWc_84cc3df8-b067-43d4-9da0-722b9afb99c7.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":383,""y"":474,""w"":470,""h"":263}]",Bounding box được audit và gán từ ảnh gốc.
34,anh_000090,san_pham_0017,NGŨ CỐC CAO CẤP TRẦN LAN - 100% THIÊN NHIÊN,data\du_lieu_logo\anh_goc\san_pham_0017\anh_006_e4ead380.jpg,e4ead3808b425481dfb9fa42c0390564ec65f54ab86c1f0c0aef49309ceb99d2,https://d134sx875xrex2.cloudfront.net/mzJv5tScml_a2e57844-5d42-483d-a021-689b7d0daeac.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":872,""y"":422,""w"":436,""h"":527}]",Bounding box được audit và gán từ ảnh gốc.
35,anh_000095,san_pham_0018,🌿 TINH BỘT NGHỆ VÀNG NGUYÊN CHẤT – TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0018\anh_005_ece9315e.jpg,ece9315e70427c5a2d36b6ee959ecedb821a640ee1ebbac54a560b0e2cab9d22,https://d134sx875xrex2.cloudfront.net/5LLdvyXom0_68f2c8b8-0a38-404a-abd5-0b3fd2f6b7d0.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":918,""y"":421,""w"":459,""h"":526}]",Bounding box được audit và gán từ ảnh gốc.
36,anh_000097,san_pham_0019,TRÀ GẠO LỨT THẢO MỘC - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0019\anh_002_c0d71c68.jpg,c0d71c68bb338801641678cc0b75649dae2a5348f3870c658e5f8edf1cd7a63a,https://d134sx875xrex2.cloudfront.net/UdsFqB5yUZ_1d3e0e8b-3395-4478-8319-28d1ecd8d2ef.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":1215,""y"":1255,""w"":339,""h"":279}]",Bounding box được audit và gán từ ảnh gốc.
37,anh_000098,san_pham_0019,TRÀ GẠO LỨT THẢO MỘC - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0019\anh_003_4d17e00d.jpg,4d17e00d2edfa9372ea02b3af44a59410c0f4dff344753bc4d857480beefde6c,https://d134sx875xrex2.cloudfront.net/VDBTkpaCFJ_2261a1b4-0496-4766-9d5e-d86047024f93.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":1802,""y"":844,""w"":288,""h"":249}]",Bounding box được audit và gán từ ảnh gốc.
38,anh_000099,san_pham_0019,TRÀ GẠO LỨT THẢO MỘC - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0019\anh_004_de27d014.jpg,de27d014a95b16b9ed52656c08716f6cfa3fc71c773cad66ff6fed2859a6f9fc,https://d134sx875xrex2.cloudfront.net/D074zldBXo_497c1194-f191-47ce-a77d-a7e1b4d94420.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":137,""y"":259,""w"":53,""h"":50}]",Bounding box được audit và gán từ ảnh gốc.
39,anh_000100,san_pham_0019,TRÀ GẠO LỨT THẢO MỘC - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0019\anh_005_3081b0cb.jpg,3081b0cbdfccb91b2885ea28b705a0bef3fed24eb854f5ab98278dce7d68ef99,https://d134sx875xrex2.cloudfront.net/48mv462QJ8_efcb29f0-6e0b-4feb-a288-ed8079db3ba3.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":378,""y"":154,""w"":189,""h"":193}]",Bounding box được audit và gán từ ảnh gốc.
40,anh_000101,san_pham_0019,TRÀ GẠO LỨT THẢO MỘC - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0019\anh_006_5aa07654.jpg,5aa07654dafc490756dcc61596186ec5b2a2131027603957043dc67e9a1632ec,https://d134sx875xrex2.cloudfront.net/0jB1NoSkYv_33277800-f00d-4e8c-8a59-38ddd71e65db.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":305,""y"":389,""w"":406,""h"":216}]",Bounding box được audit và gán từ ảnh gốc.
41,anh_000109,san_pham_0022,🌿 BỘT TÍA TÔ SẤY LẠNH NGUYÊN CHẤT,data\du_lieu_logo\anh_goc\san_pham_0022\anh_001_33fec9f4.jpg,33fec9f42ed991c22ec66e76ab80db1c671e3280d772187919bc90998c26bb0a,https://d134sx875xrex2.cloudfront.net/836xN6ucd4_28c56379-8371-48fd-bd90-aca7b30b81aa.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":384,""y"":486,""w"":141,""h"":90}]",Bounding box được audit và gán từ ảnh gốc.
42,anh_000110,san_pham_0022,🌿 BỘT TÍA TÔ SẤY LẠNH NGUYÊN CHẤT,data\du_lieu_logo\anh_goc\san_pham_0022\anh_002_19a26d84.jpg,19a26d8445c7b53a6cc1d51d03cfdd4d3d874970092a963561a880e4b95d8a76,https://d134sx875xrex2.cloudfront.net/5rSCclAe1p_7c3ba3d8-18a1-4d3c-bf8e-5c89b2478cf1.jpg,ocop,1,khong_co_logo,0,[],Audit bbox: không thấy logo/chứng chỉ tương ứng trong ảnh; sửa nhãn dương tính trước đó.
43,anh_000111,san_pham_0022,🌿 BỘT TÍA TÔ SẤY LẠNH NGUYÊN CHẤT,data\du_lieu_logo\anh_goc\san_pham_0022\anh_003_10a53204.jpg,10a532045f29d84bcba43372f06646383bf959df632aae0faa4422058e9fac0f,https://d134sx875xrex2.cloudfront.net/EbggRFtV1u_704fb426-596d-40a8-a798-a795813d8845.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":1368,""y"":1539,""w"":285,""h"":228}]",Bounding box được audit và gán từ ảnh gốc.
44,anh_000112,san_pham_0022,🌿 BỘT TÍA TÔ SẤY LẠNH NGUYÊN CHẤT,data\du_lieu_logo\anh_goc\san_pham_0022\anh_004_1312fbf4.jpg,1312fbf46d0669f50bf36e36f9faca0d64b88562dbb46730e7328aa093939491,https://d134sx875xrex2.cloudfront.net/qbrQmikV8t_5072b4c3-b534-4650-a8a3-4c13e928ce49.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":1126,""y"":1051,""w"":225,""h"":164}]",Bounding box được audit và gán từ ảnh gốc.
45,anh_000113,san_pham_0022,🌿 BỘT TÍA TÔ SẤY LẠNH NGUYÊN CHẤT,data\du_lieu_logo\anh_goc\san_pham_0022\anh_005_bcfbce7f.jpg,bcfbce7f7f6867f039561ea32090362e02192cd910f94ed78b5353a03c33f0de,https://d134sx875xrex2.cloudfront.net/qdj7A917cO_t%C3%ADa%20t%C3%B4.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":462,""y"":581,""w"":616,""h"":323}]",Bounding box được audit và gán từ ảnh gốc.
46,anh_000114,san_pham_0022,🌿 BỘT TÍA TÔ SẤY LẠNH NGUYÊN CHẤT,data\du_lieu_logo\anh_goc\san_pham_0022\anh_006_69222b92.jpg,69222b923c40b59c1d189995da2d024b2a8cdd1b0497edae68763d6b6fb85cea,https://d134sx875xrex2.cloudfront.net/11Li8LmNkc_t%C3%ADa%20to2.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":384,""y"":154,""w"":192,""h"":192}]",Bounding box được audit và gán từ ảnh gốc.
47,anh_000115,san_pham_0022,🌿 BỘT TÍA TÔ SẤY LẠNH NGUYÊN CHẤT,data\du_lieu_logo\anh_goc\san_pham_0022\anh_007_10727fc1.jpg,10727fc13a87c8e0ecd093c2620a0c48531e791f6d4198ce7ee8619a57c1e8b0,https://d134sx875xrex2.cloudfront.net/TpxkzLF1Os_bottia3.jpg,khac,1,da_gan_bbox,1,"[{""label"":""khac"",""x"":384,""y"":154,""w"":192,""h"":192}]",Bounding box được audit và gán từ ảnh gốc.
48,anh_000118,san_pham_0023,TRÀ TÍA TÔ - TRẦN LAN,data\du_lieu_logo\anh_goc\san_pham_0023\anh_003_0c1ae0d7.jpg,0c1ae0d72e627791f3f8fcf3a5e5f80178636dae34583793ac0dee1b7d4ab8ae,https://d134sx875xrex2.cloudfront.net/UKMWerPBW6_f5a1f9dd-873d-49e9-b61a-432a2ea875e8.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":437,""y"":550,""w"":582,""h"":305}]",Bounding box được audit và gán từ ảnh gốc.
49,anh_000119,san_pham_0024,BỘT GỪNG SẤY LẠNH,data\du_lieu_logo\anh_goc\san_pham_0024\anh_001_d7e5a22b.jpg,d7e5a22b28b6ab60496b75f9c0ff10f9377e7ae4298fdf64abed58e58f29e162,https://d134sx875xrex2.cloudfront.net/cLjz0c7L8v_fc4e4403-4907-4893-a30a-e4a4631e1dca.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":263,""y"":130,""w"":209,""h"":108}]",Bounding box được audit và gán từ ảnh gốc.
50,anh_000121,san_pham_0024,BỘT GỪNG SẤY LẠNH,data\du_lieu_logo\anh_goc\san_pham_0024\anh_003_e7300540.jpg,e73005400f13d6067f5b4cd2acdd352dd1f8a1093c68013000a23859ce5e8006,https://d134sx875xrex2.cloudfront.net/h2aBUGXQ5j_e2bd5130-0a44-4e99-9e6f-30b1dfdbb61f.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":555,""y"":486,""w"":137,""h"":102}]",Bounding box được audit và gán từ ảnh gốc.
51,anh_000123,san_pham_0024,BỘT GỪNG SẤY LẠNH,data\du_lieu_logo\anh_goc\san_pham_0024\anh_005_8a83b147.jpg,8a83b14728cec1c80aa9b4acc639220a6acf8da215e1bbff9bf89e9242410280,https://d134sx875xrex2.cloudfront.net/lcp3T7Qdno_a9cbd29c-21c8-4487-bf8d-c5a563649344.jpg,ocop,1,da_gan_bbox,1,"[{""label"":""ocop"",""x"":352,""y"":474,""w"":469,""h"":263}]",Bounding box được audit và gán từ ảnh gốc.
